segment_id,podcast_name_cleaned,label
136,pod save america,0.2
136,pod save america,0.3
137,the daily,0.1
137,the daily,1
137,the daily,0.5
138,Steve Deace,0.6
138,Steve Deace,0.9
139,Steve Deace,0.5
141,npr politics podcast,0.8
141,npr politics podcast,0.5
142,Steve Deace,0.1
144,mark levin,0.5
145,Stay Tuned with Preet,0.8
146,Candace Owens,0.2
146,Candace Owens,0.1
147,ben shapiro,0.1
148,FiveThirtyEight Politics,0.2
149,The Wilderness,0.1
152,Bill OReillys No Spin News and Analysis,0.2
153,Candace Owens,0.1
154,The Wilderness,0.2
158,npr politics podcast,0.5
162,pod save america,0.5
163,pod save america,0.6
165,Stay Tuned with Preet,0.5
185,pod save america,0.5
204,dan bongino,0.7
206,transcripts,0.5
216,dan bongino,0.8
217,Bill OReillys No Spin News and Analysis,0.7
228,The Clay Travis and Buck Sexton Show,0.5
229,ben shapiro,1
231,FiveThirtyEight Politics,0.7
232,Steve Deace,1
240,mark levin,0.7
256,Steve Deace,0.1
275,pod save america,0.1
313,mark levin,0.1
317,The Clay Travis and Buck Sexton Show,0.1
363,FiveThirtyEight Politics,0.1
364,FiveThirtyEight Politics,0.5
365,Stay Tuned with Preet,0.6
468,pod save america,1
